age,income,years_as_fan,number_of_games_attended,team_performance_rating,engagement_with_team,loyalty
50,38025,1,29,6.962355522,1,0
51,39288,13,41,4.122663938,0,0
58,114186,19,36,4.516796371,1,0
52,31540,24,36,2.428109863,0,0
18,106958,3,41,3.324079177,1,0
38,93878,24,36,6.448705818,0,0
23,66846,17,34,4.898468002,1,0
45,100932,5,22,7.968724147,2,0
34,42482,20,5,8.673264594,1,0
22,48411,21,3,5.874817764,0,0
48,75975,8,17,7.824405629,2,1
22,85545,26,8,3.762140619,1,0
55,103797,14,48,4.734740939,2,0
20,77307,4,28,7.414999086,1,0
40,28093,11,12,4.475907935,2,0
54,102258,20,46,6.296544416,0,0
54,47042,15,16,2.668355012,1,0
27,77930,19,44,6.397941835,1,1
27,69413,7,31,8.753623365,0,0
36,118623,19,47,8.817756758,2,1
34,58756,28,21,7.519099657,0,0
38,78268,19,3,7.711780412,0,0
31,64214,11,4,6.021347006,2,0
26,106871,26,36,6.262012811,0,0
63,53602,5,40,2.202855233,1,0
18,78331,5,48,4.994732696,1,0
62,73901,22,12,5.056986555,1,1
30,88416,8,33,9.626480521,0,0
21,57196,10,44,4.879781764,1,0
18,30626,6,21,5.944083804,1,1
57,32424,15,22,5.799262594,1,1
49,37857,16,2,6.730855453,1,0
51,44982,28,41,7.734095482,1,1
45,101961,17,33,3.025376886,1,0
48,26980,8,31,5.758519772,0,0
25,73290,8,44,8.433259366,1,1
56,51431,25,48,5.168032425,1,1
43,109976,9,20,3.506117917,2,0
51,107711,2,45,6.892381678,0,0
20,51385,15,43,8.413906562,0,0
29,63158,18,20,1.568262636,0,0
18,48019,3,43,7.991114351,0,0
61,43639,17,10,8.394831397,1,1
22,110530,4,38,5.153706348,1,0
47,46563,4,3,9.849750911,2,0
47,64341,14,0,8.080375066,2,0
34,30776,9,27,7.962963084,0,0
64,61444,9,23,7.73054717,2,1
40,93916,25,34,2.355472929,2,0
32,33711,26,12,2.955077978,0,0
54,99318,23,46,5.175911183,0,0
38,107970,18,33,3.37603915,2,0
31,110553,10,10,4.737168751,1,0
19,55707,21,35,8.996176989,2,1
28,64110,4,16,8.418942027,2,0
56,86788,12,34,6.670358906,1,1
55,107879,27,17,8.723083548,1,1
51,63827,8,39,8.053951501,0,0
55,30655,2,21,4.860864387,0,0
51,69859,22,23,2.809586368,2,0
35,78625,13,18,5.62780936,1,1
47,77098,21,36,7.626059943,0,0
32,40251,16,38,4.927776389,2,0
44,25526,28,20,7.000947188,1,1
51,93760,2,7,1.848946837,2,0
55,72837,11,27,7.732042627,0,0
50,36536,10,4,8.314422579,0,0
41,53541,15,16,7.361540702,1,1
32,104083,17,36,9.705372288,2,1
47,76027,8,35,8.439868517,1,1
59,59531,18,18,9.127843551,0,0
34,33712,23,26,9.402139751,0,0
22,90455,9,33,8.212131927,2,1
46,99744,25,10,7.068329578,2,1
21,30109,8,44,1.051467232,2,0
27,74268,27,46,5.192431779,1,1
34,79615,14,11,6.140460688,2,1
27,107503,28,20,3.736272452,2,0
34,54759,26,10,3.862940022,0,0
37,110708,25,38,9.650434741,0,0
41,85112,18,27,9.025397787,2,1
22,51589,22,4,8.64261105,2,0
51,55015,20,16,4.654106215,0,0
23,54009,20,19,1.123286954,2,0
19,108309,21,40,1.722000218,1,0
30,87046,12,45,3.809767314,1,0
60,51143,19,11,1.141686217,1,0
60,31154,14,5,1.154348037,2,0
28,46804,17,16,9.249429715,0,0
64,66688,24,18,7.355426519,2,1
40,89288,21,25,3.780603911,2,0
33,76195,3,47,2.193801198,0,0
48,45581,26,43,5.604721461,0,0
28,77648,23,43,1.048115448,0,0
33,55087,7,31,9.445723695,1,1
25,74930,17,5,4.733336075,2,0
21,57981,12,35,4.621014597,0,0
57,94298,9,37,4.515342468,2,0
21,71167,15,10,1.623954973,1,0
42,100304,18,32,6.744900158,1,1
20,68408,21,23,7.597032577,0,0
49,64499,13,22,7.085128578,0,0
20,77269,21,14,2.24591944,2,0
44,63559,8,26,6.209561512,0,0
46,99319,14,10,6.125360358,2,1
49,73787,8,49,8.815697091,0,0
36,60488,14,16,4.412148925,2,0
38,99441,7,13,4.343373493,2,0
22,99663,23,26,6.566743528,2,1
35,47431,12,17,6.697653881,2,1
45,86681,11,27,5.223567046,1,1
59,88483,22,46,4.987534261,2,0
39,74153,22,46,5.447329036,0,0
38,31368,11,3,8.749407696,1,0
23,52424,25,6,5.150502111,1,1
18,70004,22,44,9.459386128,2,1
22,108869,28,34,5.536033872,1,1
58,113652,29,47,9.542806239,2,1
29,81985,13,8,8.495487117,0,0
43,75069,18,7,4.261881904,2,0
63,77326,2,44,8.772772792,1,0
51,106061,29,16,1.990569558,0,0
31,48398,21,16,9.325424578,2,1
43,75861,15,48,6.684791636,0,0
62,100897,20,32,1.489516737,0,0
44,106905,27,31,6.798310513,1,1
26,93577,18,7,9.768228887,0,0
43,90641,15,18,1.628205892,1,0
64,34078,19,37,5.992189388,0,0
39,50003,23,2,7.730149148,2,0
64,87768,24,4,8.29232728,0,0
47,76047,12,12,4.724447188,2,0
60,96626,13,46,2.837499033,2,0
34,82660,22,45,1.381080509,0,0
43,74786,11,30,6.217535414,2,1
53,26925,5,15,5.076199632,0,0
18,108976,29,49,9.538699556,0,0
25,51015,1,31,1.545444169,2,0
52,58320,24,21,7.168558091,2,1
32,89881,3,28,1.224695999,1,0
64,115827,22,21,2.54290759,2,0
39,51289,19,42,5.082210999,1,1
31,28389,23,2,5.093851985,2,0
43,50683,29,9,7.171304886,0,0
45,38629,7,41,9.191917314,2,1
40,86550,12,20,6.75128943,0,0
31,49826,15,15,9.581815881,0,0
41,51630,25,11,8.934540759,0,0
19,71163,5,1,6.26049816,1,0
62,91435,15,40,8.504127558,2,1
43,36653,8,23,6.783198493,0,0
31,52961,10,34,1.707020478,0,0
24,106941,26,29,7.665082509,1,1
20,99137,16,29,1.854175971,2,0
64,58662,8,46,6.346745025,2,1
40,81446,1,34,7.323761853,1,0
63,46288,12,18,1.598748474,1,0
60,61877,5,49,3.077151885,2,0
64,40313,3,7,9.24105009,1,0
62,105885,1,25,6.54683043,2,0
35,97715,4,48,3.216574169,2,0
55,35326,8,39,7.21611794,0,0
52,26560,3,6,6.37098778,0,0
32,104148,10,29,5.514181299,2,1
42,108186,2,6,9.785682775,2,0
54,51745,11,2,7.151083997,2,0
45,56890,25,0,4.378969987,2,0
27,45022,10,35,8.200660889,2,1
56,77579,21,24,8.961249636,2,1
34,95316,14,36,2.126985036,1,0
56,108847,7,0,2.804976801,2,0
39,53380,27,14,2.946043082,1,0
43,27356,27,36,7.220906284,1,1
61,95326,2,12,6.427355995,2,0
42,117447,9,39,6.570924082,2,1
34,114899,16,7,9.466959697,1,1
30,45049,13,4,7.983203795,1,0
37,100717,9,8,2.151432321,2,0
42,41082,20,0,4.127563742,2,0
21,25661,4,35,4.918542816,1,0
27,62412,22,34,4.563654299,1,0
20,27920,10,1,7.023777482,1,0
58,116194,26,39,9.027037929,0,0
62,85315,26,22,3.754463172,1,0
35,104561,22,8,5.966894228,0,0
64,33946,12,33,8.104684797,2,1
53,119242,17,45,4.74596253,2,0
64,70500,14,13,2.513063156,1,0
39,41309,14,3,5.274558687,2,0
51,80230,25,29,1.497002687,2,0
64,55027,2,30,9.481451086,2,0
25,97541,21,37,1.673390847,2,0
57,84321,25,10,4.946110437,0,0
61,25956,20,34,5.76893135,0,0
36,99131,11,7,9.867734491,1,1
59,72908,16,2,2.494196413,1,0
58,103339,19,13,2.029883668,1,0
54,50963,23,12,1.078355324,2,0
23,64443,6,44,2.400142932,2,0
43,64063,24,31,2.865456812,0,0
51,105818,19,33,6.675228474,0,0
62,29703,5,44,2.977361114,1,0
23,90128,26,18,1.184687333,0,0
54,97099,4,37,8.43956511,0,0
50,50849,15,15,4.290361309,0,0
39,56860,29,1,4.183270179,0,0
38,56585,4,39,3.722311263,0,0
23,47015,20,16,9.778359494,1,1
23,102539,10,33,2.531038756,1,0
21,68585,24,41,9.084142576,0,0
47,51958,22,15,7.991229989,1,1
28,51017,3,37,1.688319599,2,0
47,101707,26,1,9.880561914,0,0
48,70350,5,1,3.442293672,2,0
41,37201,6,25,1.887246343,1,0
26,54426,21,12,8.463828107,1,1
20,42778,22,46,7.360079803,2,1
48,70241,8,30,6.554969253,1,1
57,67229,7,33,2.403827773,0,0
54,111652,21,38,5.306465046,2,1
53,73364,10,2,8.025004242,0,0
41,109878,6,7,3.732615443,2,0
48,82056,14,22,3.805208457,1,0
23,52490,4,13,1.028268154,2,0
19,44975,28,26,2.568190615,2,0
37,51723,25,28,8.878650626,0,0
45,48279,13,38,4.975718425,1,0
28,103301,20,38,9.858110493,0,0
21,36561,17,0,4.561371672,1,0
32,91061,23,16,7.436678093,0,0
23,113397,7,40,3.537271386,2,0
47,74153,4,29,4.27428677,0,0
55,58142,29,12,2.716533888,1,0
19,51916,14,20,4.123561316,1,0
32,89324,3,18,5.925137684,2,0
28,69965,24,18,9.925955929,1,1
25,29648,5,24,6.977815418,0,0
43,60133,16,21,2.79321359,2,0
62,75677,26,30,1.404652974,1,0
61,119588,23,16,2.137208332,1,0
22,95135,20,22,6.062996811,0,0
23,60046,4,31,7.886442959,0,0
43,72064,24,9,9.463772866,2,1
21,94350,24,9,1.142408548,1,0
36,70893,2,35,5.704841274,0,0
37,86272,18,7,5.237806206,2,1
50,117152,19,19,6.904495198,1,1
37,92649,28,31,6.03620969,1,1
29,89674,28,49,7.183352355,2,1
64,38760,19,13,6.922743263,2,1
18,46927,17,49,2.053105524,0,0
43,111475,14,27,8.197461223,1,1
31,86367,19,45,2.109093181,1,0
55,37588,22,23,7.286775627,1,1
54,77233,24,14,4.745308309,2,0
28,69738,13,21,5.624656611,0,0
53,58397,12,29,9.129682129,1,1
30,107189,26,3,9.008953538,2,0
60,101367,6,12,8.360706751,1,1
20,96260,21,22,5.591335424,0,0
50,101619,4,7,7.626158291,1,0
23,44816,19,17,5.6160735,0,0
27,67240,16,11,8.826454742,0,0
22,31276,13,30,4.624982499,1,0
40,104530,4,13,9.7321181,1,0
27,48499,23,33,9.390904824,0,0
61,113576,17,17,7.674423575,2,1
19,107495,23,33,3.514742958,0,0
